CarID,OwnerName,LicensePlate,Model,Color,FuelType,Phone,Email,Membership,PaymentMethod,Slot,Size,Rate,DynamicPricing,RemovedTime
1001,Surya,T1934,BENZ,white,Disel,97234567,deepak@gmail.com,VIP,UPI,a3,large,50,No,Wed Aug 13 13:10:58 2025
1002,Deepak,T1941,Cadilac,REd,Petrol,9704374382,deva@gmail.com,NRML,CASH,A1,large,90,Yes,Wed Aug 13 13:12:43 2025
1001,DEEPAK,kubfvrsd,sdifvnj,sfvkhb,srgvehn,srvlkn,dsrfjvmhb,sdrvkjhnd,tvkds,dsilvh,srh sl,90,Yes,Wed Aug 13 15:19:37 2025
1001,Naveen,T123456,BENZ ,Grey,Petrol,91234567890,deva@gmail.com,VIP,Cash,A6,Large,60,No,Thu Aug 14 11:24:58 2025
1001,Deva,T9876,BENZ,white,Disel,1234567890,deva@gmail.com,VIP,UPI,A5,large,80,Yes,Thu Aug 14 11:54:49 2025
1001,1234,1234,,jgt,dtjkbg,dtgb,sgvr,2345,gbik,Cash,A6,Large,0,No,Thu Aug 14 11:57:59 2025
1001,Deepak,w42,wrf,swgs,etghbxs,tght,detg,teg,edtg,dtgb,dgtb,0,No,Thu Aug 14 15:57:20 2025
1002,sdc,sfvs,fvd,fvdfv,frvs,frvs,rfvs,rfv,sfv,rf,sr,70,No,Thu Aug 14 15:59:31 2025
1001,srgrrefgv,dg4gvsvf,rfgs,dtgbhsx,dxfgb,dbdgth,dthb,dthb,dthgbd,bgtd,fgb,0,No,Thu Aug 14 16:04:18 2025
1001,Deepak,srfvwerf3,4efc,rvsrv,dvegd,456,@,fvdf,dgb,dgb,db,0,No,Thu Aug 14 16:05:36 2025
